Store No,Auchan Store Name _LAttr02,Town,Street,Zip Code,full,full.address,Store Latitude,Store Longitude
FRA002,RONCQ,RONCQ -Tourcoing-,BD D'HALLUIN,59223,Auchan RONCQ [FRA002],<b>Auchan RONCQ [FRA002]</b><br>BD D'HALLUIN<br>F-59223 RONCQ -Tourcoing-,50.73798,3.135711
FRA003,ENGLOS,HAUBOURDIN -Englos Sequedin-,RN 352,59320,Auchan ENGLOS [FRA003],<b>Auchan ENGLOS [FRA003]</b><br>RN 352<br>F-59320 HAUBOURDIN -Englos Sequedin-,50.631595,2.968071
FRA004,LEERS,LEERS -Roubaix-,1 AV DE L'EUROPE,59115,Auchan LEERS [FRA004],<b>Auchan LEERS [FRA004]</b><br>1 AV DE L'EUROPE<br>F-59115 LEERS -Roubaix-,50.680816,3.219046
FRA005,BOULOGNE,ST MARTIN BOULOGNE,RN 42,62200,Auchan BOULOGNE [FRA005],<b>Auchan BOULOGNE [FRA005]</b><br>RN 42<br>F-62200 ST MARTIN BOULOGNE,50.734391,1.674866
FRA006,PETITE FORET,PETITE FORET -Anzin-,RN 45,59494,Auchan PETITE FORET [FRA006],<b>Auchan PETITE FORET [FRA006]</b><br>RN 45<br>F-59494 PETITE FORET -Anzin-,50.376361,3.479233
FRA007,NOYELLES,NOYELLES GODAULT -Lens-,RN 43,62950,Auchan NOYELLES [FRA007],<b>Auchan NOYELLES [FRA007]</b><br>RN 43<br>F-62950 NOYELLES GODAULT -Lens-,50.41213,2.976781
FRA008,LE HAVRE,LE HAVRE Mont Gaillard,AV BOIS AU COQ PROLONGEE,76620,Auchan LE HAVRE [FRA008],<b>Auchan LE HAVRE [FRA008]</b><br>AV BOIS AU COQ PROLONGEE<br>F-76620 LE HAVRE Mont Gaillard,49.522418,0.110172
FRA009,FONTENAY,FONTENAY SS/BOIS,AV CHARLES GARCIA,94120,Auchan FONTENAY [FRA009],<b>Auchan FONTENAY [FRA009]</b><br>AV CHARLES GARCIA<br>F-94120 FONTENAY SS/BOIS,48.853601,2.483552
FRA010,LOUVROIL,LOUVROIL -Maubeuge-,CD 121,59720,Auchan LOUVROIL [FRA010],<b>Auchan LOUVROIL [FRA010]</b><br>CD 121<br>F-59720 LOUVROIL -Maubeuge-,50.256651,3.93791
FRA011,GRANDE SYNTHE,GRANDE SYNTHE -Dunkerque-,RN 40,59760,Auchan GRANDE SYNTHE [FRA011],<b>Auchan GRANDE SYNTHE [FRA011]</b><br>RN 40<br>F-59760 GRANDE SYNTHE -Dunkerque-,51.00598,2.278732
FRA012,ST JEAN,ST JEAN DE LA RUELLE,AV PIERRE MENDES FRANCE,45140,Auchan ST JEAN [FRA012],<b>Auchan ST JEAN [FRA012]</b><br>AV PIERRE MENDES FRANCE<br>F-45140 ST JEAN DE LA RUELLE,47.903489,1.862065
FRA013,TOULON,LA SEYNE S/MER -Toulon-,BD DE L'EUROPE,83500,Auchan TOULON [FRA013],<b>Auchan TOULON [FRA013]</b><br>BD DE L'EUROPE<br>F-83500 LA SEYNE S/MER -Toulon-,43.113204,5.857704
FRA014,LE PONTET,LE PONTET Avignon Nord,ZAC DE ST TRONQUET,84130,Auchan LE PONTET [FRA014],<b>Auchan LE PONTET [FRA014]</b><br>ZAC DE ST TRONQUET<br>F-84130 LE PONTET Avignon Nord,43.982353,4.880444
FRA015,BEZIERS,BEZIERS,RTE DE BESSAN,34500,Auchan BEZIERS [FRA015],<b>Auchan BEZIERS [FRA015]</b><br>RTE DE BESSAN<br>F-34500 BEZIERS,43.345534,3.243545
FRA016,PLAISIR,PLAISIR Sablons,CD 161,78370,Auchan PLAISIR [FRA016],<b>Auchan PLAISIR [FRA016]</b><br>CD 161<br>F-78370 PLAISIR Sablons,48.829557,1.961388
